meeting_date,agentic_mpu_7b,agentic_mpu_v4,agentic_mpu_sonnet,agentic_mpu_fable
3/13/2012,0.40667,0.11,0.068,0.052
4/25/2012,0.35333,0.185,0.069,0.048
6/20/2012,0.35556,0.08917,0.0625,0.04417
8/1/2012,0.34444,0.2125,0.06167,0.04167
9/13/2012,0.37222,0.075,0.065,0.04583
10/24/2012,0.32222,0.28333,0.05333,0.05417
12/12/2012,0.33333,0.16,0.05333,0.0525
1/30/2013,0.32222,0.13083,0.05667,0.05333
3/20/2013,0.33889,0.20667,0.06,0.05167
5/1/2013,0.34722,0.26833,0.05917,0.05417
6/19/2013,0.32222,0.19583,0.0625,0.05917
7/31/2013,0.33056,0.31667,0.06667,0.07083
9/18/2013,0.34,0.287,0.077,0.079
10/30/2013,0.32667,0.12,0.079,0.076
12/18/2013,0.32333,0.074,0.077,0.078
1/29/2014,0.37333,0.09,0.097,0.076
3/19/2014,0.36852,0.14333,0.10667,0.08333
4/30/2014,0.37222,0.10111,0.10667,0.07333
6/18/2014,0.33333,0.076,0.083,0.07
7/30/2014,0.34667,0.15,0.054,0.068
9/17/2014,0.36,0.131,0.057,0.077
10/29/2014,0.39333,0.19,0.06,0.087
12/17/2014,0.38667,0.132,0.061,0.084
1/28/2015,0.38,0.172,0.045,0.032
3/18/2015,0.36667,0.152,0.044,0.03
4/29/2015,0.37,0.157,0.038,0.027
6/17/2015,0.33,0.083,0.035,0.031
7/29/2015,0.32,0.175,0.032,0.035
9/17/2015,0.37667,0.16,0.062,0.055
10/28/2015,0.39667,0.172,0.072,0.056
12/16/2015,0.37667,0.206,0.041,0.035
1/27/2016,0.37,0.27,0.031,0.03
3/16/2016,0.36,0.238,0.028,0.062
4/27/2016,0.32,0.231,0.049,0.084
6/15/2016,0.43667,0.28,0.048,0.059
7/27/2016,0.36333,0.2,0.066,0.098
9/21/2016,0.40333,0.265,0.078,0.114
11/2/2016,0.37667,0.222,0.076,0.13
12/14/2016,0.34,0.165,0.038,0.025
2/1/2017,0.30333,0.103,0.05,0.027
3/15/2017,0.33333,0.21,0.07,0.068
5/3/2017,0.35741,0.11333,0.03333,0.02222
6/14/2017,0.39444,0.28333,0.07,0.08889
7/26/2017,0.26481,0.07,0.02444,0.02
9/20/2017,0.27963,0.07778,0.02222,0.01889
11/1/2017,0.33148,0.12,0.02556,0.01889
12/13/2017,0.35741,0.25556,0.08333,0.13667
1/31/2018,0.36111,0.15778,0.02889,0.02111
3/21/2018,0.26667,0.09375,0.02125,0.015
5/2/2018,0.35833,0.09375,0.0275,0.025
6/13/2018,0.30417,0.05625,0.0225,0.0175
8/1/2018,0.34583,0.28375,0.0275,0.035
9/26/2018,0.28333,0.07222,0.02,0.01556
11/8/2018,0.27963,0.3,0.02556,0.02222
12/19/2018,0.29333,0.095,0.024,0.02
1/30/2019,0.32333,0.173,0.025,0.018
3/20/2019,0.32333,0.135,0.028,0.018
5/1/2019,0.33,0.15,0.033,0.024
6/19/2019,0.36667,0.195,0.058,0.05
7/31/2019,0.38333,0.275,0.104,0.0925
9/18/2019,0.38667,0.325,0.106,0.1115
10/30/2019,0.41667,0.33,0.098,0.121
12/11/2019,0.39667,0.175,0.03,0.023
1/29/2020,0.32,0.145,0.031,0.0225
3/15/2020,0.36667,0.101,0.027,0.055
4/29/2020,0.48667,0.141,0.024,0.0245
6/10/2020,0.40333,0.065,0.021,0.024
7/29/2020,0.35,0.152,0.023,0.025
9/16/2020,0.36333,0.085,0.031,0.043
11/5/2020,0.35667,0.099,0.025,0.025
12/16/2020,0.32667,0.07,0.025,0.028
1/27/2021,0.29242,0.06364,0.02,0.01909
3/17/2021,0.28636,0.05818,0.02091,0.01909
4/28/2021,0.28333,0.06818,0.02091,0.01818
6/16/2021,0.31364,0.07727,0.02182,0.02
7/28/2021,0.31364,0.07091,0.02273,0.02273
9/22/2021,0.34091,0.11455,0.03364,0.02364
11/3/2021,0.42273,0.18636,0.03727,0.02909
12/15/2021,0.45,0.23182,0.03545,0.02727
1/26/2022,0.51667,0.57778,0.07667,0.06444
3/16/2022,0.26852,0.18444,0.06778,0.07667
5/4/2022,0.2563,0.07778,0.02667,0.03778
6/15/2022,0.27667,0.07727,0.02727,0.05182
7/27/2022,0.28889,0.08333,0.025,0.035
9/21/2022,0.25278,0.0725,0.02417,0.02833
11/2/2022,0.27222,0.0625,0.02417,0.02667
12/14/2022,0.28611,0.12917,0.03583,0.0275
2/1/2023,0.32222,0.11667,0.03833,0.03083
3/22/2023,0.33485,0.13091,0.04364,0.03273
5/3/2023,0.32879,0.11818,0.04364,0.03364
6/14/2023,0.5197,0.42727,0.04182,0.04091
7/26/2023,0.32879,0.12182,0.04182,0.03364
9/20/2023,0.45556,0.275,0.04083,0.02833
11/1/2023,0.38611,0.2025,0.03417,0.02083
12/13/2023,0.38889,0.1775,0.0275,0.0175
1/31/2024,0.44722,0.19,0.03083,0.01583
3/20/2024,0.5,0.17333,0.02917,0.01417
5/1/2024,0.5,0.29083,0.0375,0.01583
6/12/2024,0.46667,0.18167,0.03167,0.01583
7/31/2024,0.39722,0.13333,0.0275,0.0275
9/18/2024,0.53611,0.50417,0.06917,0.065
11/7/2024,0.36944,0.1625,0.025,0.02917
12/18/2024,0.45833,0.38333,0.05167,0.07583
1/29/2025,0.39444,0.39167,0.02417,0.02417
3/19/2025,0.4,0.21583,0.02167,0.0225
5/7/2025,0.38611,0.2125,0.0375,0.02667
6/18/2025,0.36944,0.2375,0.03917,0.02583
7/30/2025,0.33485,0.22636,0.12273,0.13727
9/17/2025,0.5,0.45,0.06083,0.0525
10/29/2025,0.38611,0.335,0.1075,0.10667
12/10/2025,0.38333,0.42083,0.07833,0.1025
